Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2023-07-30 16:49:28;"Arms";"Bench Press (Dumbbell)";1;14;kg;8;;;;0;"";"";44m
2023-07-30 16:49:28;"Arms";"Bench Press (Dumbbell)";2;12;kg;8;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Bench Press (Dumbbell)";3;12;kg;0;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Bicep Curl (Dumbbell)";1;10;kg;8;;;;0;"";;44m
2023-07-30 16:49:28;"Arms";"Bicep Curl (Dumbbell)";2;10;kg;8;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Bicep Curl (Dumbbell)";3;10;kg;4;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Chest Fly";1;;;;;;;0;"";;44m
2023-07-30 16:49:28;"Arms";"Chest Fly";2;;;;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Chest Fly";3;;;;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Triceps Extension (Machine)";1;32;kg;8;;;;0;"";;44m
2023-07-30 16:49:28;"Arms";"Triceps Extension (Machine)";2;32;kg;8;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Triceps Extension (Machine)";3;32;kg;8;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Lateral Raise (Machine)";1;23;kg;8;;;;0;"";;44m
2023-07-30 16:49:28;"Arms";"Lateral Raise (Machine)";2;23;kg;8;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Lateral Raise (Machine)";3;23;kg;8;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Overhead Press (Barbell)";1;20;kg;8;;;;0;"";;44m
2023-07-30 16:49:28;"Arms";"Overhead Press (Barbell)";2;20;kg;5;;;;0;;;44m
2023-07-30 16:49:28;"Arms";"Overhead Press (Barbell)";3;15;kg;8;;;;0;;;44m
2023-08-01 16:16:08;"Back and abs";"Lat Pulldown (Cable)";1;18;kg;10;;;;0;"";"";43m
2023-08-01 16:16:08;"Back and abs";"Lat Pulldown (Cable)";2;25;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Lat Pulldown (Cable)";3;25;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Bent Over Row (Barbell)";1;15;kg;10;;;;0;"";;43m
2023-08-01 16:16:08;"Back and abs";"Bent Over Row (Barbell)";2;15;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Bent Over Row (Barbell)";3;15;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Back Extension (Machine)";1;39;kg;10;;;;0;"";;43m
2023-08-01 16:16:08;"Back and abs";"Back Extension (Machine)";2;39;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Back Extension (Machine)";3;39;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Seated Row (Machine)";1;18;kg;10;;;;0;"";;43m
2023-08-01 16:16:08;"Back and abs";"Seated Row (Machine)";2;18;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Seated Row (Machine)";3;18;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Crunch (Machine)";1;25;kg;10;;;;0;"";;43m
2023-08-01 16:16:08;"Back and abs";"Crunch (Machine)";2;27;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Crunch (Machine)";3;27;kg;10;;;;0;;;43m
2023-08-01 16:16:08;"Back and abs";"Plank";1;;;;;;km;30;"";;43m
2023-08-01 16:16:08;"Back and abs";"Plank";2;;;;;;km;30;;;43m
2023-08-01 16:16:08;"Back and abs";"Plank";3;;;;;;km;30;;;43m
2023-08-03 15:08:07;"Legs";"Leg Press";1;45;kg;10;;;;0;"";"";50m
2023-08-03 15:08:07;"Legs";"Leg Press";2;45;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Leg Press";3;45;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Leg Extension (Machine)";1;39;kg;10;;;;0;"";;50m
2023-08-03 15:08:07;"Legs";"Leg Extension (Machine)";2;39;kg;5;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Leg Extension (Machine)";3;32;kg;8;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Hip Adductor (Machine)";1;39;kg;10;;;;0;"";;50m
2023-08-03 15:08:07;"Legs";"Hip Adductor (Machine)";2;39;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Hip Adductor (Machine)";3;39;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Hip Abductor (Machine)";1;32;kg;10;;;;0;"";;50m
2023-08-03 15:08:07;"Legs";"Hip Abductor (Machine)";2;32;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Hip Abductor (Machine)";3;32;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Squat (Barbell)";1;20;kg;7;;;;0;"";;50m
2023-08-03 15:08:07;"Legs";"Squat (Barbell)";2;20;kg;7;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Squat (Barbell)";3;20;kg;7;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Seated Calf Raise (Machine)";1;59;kg;10;;;;0;"";;50m
2023-08-03 15:08:07;"Legs";"Seated Calf Raise (Machine)";2;59;kg;7;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Seated Calf Raise (Machine)";3;59;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Lying Leg Curl (Machine)";1;23;kg;10;;;;0;"";;50m
2023-08-03 15:08:07;"Legs";"Lying Leg Curl (Machine)";2;23;kg;10;;;;0;;;50m
2023-08-03 15:08:07;"Legs";"Lying Leg Curl (Machine)";3;23;kg;10;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Bench Press (Dumbbell)";1;14;kg;8;;;;0;"";"";50m
2023-08-05 13:07:31;"Arms";"Bench Press (Dumbbell)";2;14;kg;6;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Bench Press (Dumbbell)";3;12;kg;8;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Bicep Curl (Dumbbell)";1;10;kg;8;;;;0;"";;50m
2023-08-05 13:07:31;"Arms";"Bicep Curl (Dumbbell)";2;10;kg;4;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Bicep Curl (Dumbbell)";3;8;kg;8;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Chest Fly";1;32;kg;8;;;;0;"";;50m
2023-08-05 13:07:31;"Arms";"Chest Fly";2;32;kg;8;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Chest Fly";3;32;kg;8;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Triceps Extension (Machine)";1;32;kg;8;;;;0;"";;50m
2023-08-05 13:07:31;"Arms";"Triceps Extension (Machine)";2;32;kg;8;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Triceps Extension (Machine)";3;32;kg;8;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Lateral Raise (Machine)";1;27;kg;10;;;;0;"";;50m
2023-08-05 13:07:31;"Arms";"Lateral Raise (Machine)";2;27;kg;9;;;;0;;;50m
2023-08-05 13:07:31;"Arms";"Lateral Raise (Machine)";3;27;kg;8;;;;0;;;50m
2023-08-06 09:01:55;"Back and abs";"Lat Pulldown (Cable)";1;32;kg;10;;;;0;"";"";53m
2023-08-06 09:01:55;"Back and abs";"Lat Pulldown (Cable)";2;32;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Lat Pulldown (Cable)";3;25;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Bent Over Row (Barbell)";1;25;kg;10;;;;0;"";;53m
2023-08-06 09:01:55;"Back and abs";"Bent Over Row (Barbell)";2;25;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Bent Over Row (Barbell)";3;25;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Back Extension (Machine)";1;39;kg;10;;;;0;"";;53m
2023-08-06 09:01:55;"Back and abs";"Back Extension (Machine)";2;39;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Back Extension (Machine)";3;39;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Seated Row (Machine)";1;18;kg;10;;;;0;"";;53m
2023-08-06 09:01:55;"Back and abs";"Seated Row (Machine)";2;18;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Seated Row (Machine)";3;18;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Crunch (Machine)";1;25;kg;10;;;;0;"";;53m
2023-08-06 09:01:55;"Back and abs";"Crunch (Machine)";2;27;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Crunch (Machine)";3;27;kg;10;;;;0;;;53m
2023-08-06 09:01:55;"Back and abs";"Plank";1;;;;;;km;30;"";;53m
2023-08-06 09:01:55;"Back and abs";"Plank";2;;;;;;km;30;;;53m
2023-08-06 09:01:55;"Back and abs";"Plank";3;;;;;;km;30;;;53m
2023-08-14 11:58:38;"Arms";"Elliptical Machine";1;;;;;;km;300;"";"";50m
2023-08-14 11:58:38;"Arms";"Bench Press (Dumbbell)";1;12;kg;10;;;;0;"";;50m
2023-08-14 11:58:38;"Arms";"Bench Press (Dumbbell)";2;12;kg;10;;;;0;;;50m
2023-08-14 11:58:38;"Arms";"Bench Press (Dumbbell)";3;12;kg;7;;;;0;;;50m
2023-08-14 11:58:38;"Arms";"Bicep Curl (Dumbbell)";1;8;kg;10;;;;0;"";;50m
2023-08-14 11:58:38;"Arms";"Bicep Curl (Dumbbell)";2;8;kg;10;;;;0;;;50m
2023-08-14 11:58:38;"Arms";"Bicep Curl (Dumbbell)";3;8;kg;10;;;;0;;;50m
2023-08-14 11:58:38;"Arms";"Shoulder Press (Machine)";1;14;kg;10;;;;0;"";;50m
2023-08-14 11:58:38;"Arms";"Shoulder Press (Machine)";2;14;kg;8;;;;0;;;50m
2023-08-14 11:58:38;"Arms";"Shoulder Press (Machine)";3;14;kg;6;;;;0;;;50m
2023-08-14 11:58:38;"Arms";"Triceps Extension (Machine)";1;32;kg;10;;;;0;"";;50m
2023-08-14 11:58:38;"Arms";"Triceps Extension (Machine)";2;32;kg;10;;;;0;;;50m
